Cycle,Time (s),Voltage (V),Capacity (mAh)
6,488891.7556756833,0.089563899,1.073994548859991
6,488901.7558682328,0.089571536,1.074353240231122
6,488911.7560607824,0.089701392,1.074711946567265
6,488921.7562533319,0.089640282,1.075070653249493
6,488931.7564458814,0.089625008,1.075429377382735
6,488941.756638431,0.089575358,1.075788100461963
6,488951.7568309805,0.089686118,1.076146786735881
6,488961.7570235301,0.089743406,1.076505502298357
6,488971.7572160796,0.089647919,1.07686422629717
6,488981.7574086292,0.089728132,1.077222932991303
6,488991.7576011787,0.0896632,1.077581660144611
6,489001.7577937283,0.089686118,1.077940365538454
6,489011.7579862773,0.089670837,1.078299090411414
6,489021.7581788264,0.089709036,1.078657838505413
6,489031.7583713755,0.089667022,1.079016572561848
6,489041.7585639246,0.089697577,1.079375306996744
6,489051.7587564737,0.089781597,1.07973403207509
6,489061.7589490227,0.089720488,1.080092786803572
6,489071.7591415718,0.089777783,1.080451538585216
6,489081.7593341209,0.089705214,1.080810270419527
6,489091.75952667,0.089766324,1.081169001761505
6,489101.7597192191,0.089781597,1.081527722892952
6,489111.7599117681,0.089735769,1.081886443057946
6,489121.7601043172,0.089812152,1.082245169754691
6,489131.7602968663,0.089815974,1.082603887096653
6,489141.7604894154,0.089766324,1.082962618988038
6,489151.7606819645,0.089789234,1.083321355766471
6,489161.7608745135,0.089789242,1.083680089323493
6,489171.7610670626,0.089800693,1.084038818707374
6,489181.7612596117,0.089747228,1.0843975624368
6,489191.7614521608,0.089815974,1.08475632388384
6,489201.7616447099,0.089804515,1.085115107501469
6,489211.7618372589,0.089785419,1.085473871408975
6,489221.762029808,0.089819789,1.085832613631285
6,489231.7622223571,0.089838885,1.086191361885254
6,489241.7624149062,0.089804515,1.086550114492165
6,489251.7626074553,0.089861803,1.086908838966032
6,489261.7628000043,0.089873262,1.087267577055104
6,489271.7629925534,0.089873262,1.087626311300019
6,489281.7631851025,0.089857981,1.087985076756333
6,489291.7633776516,0.089934364,1.088343798161315
6,489301.7635702007,0.089880899,1.088702513197126
6,489311.7637627497,0.089903809,1.089061198802016
6,489321.7639552988,0.089892358,1.089419900585742
6,489331.7641478479,0.089888535,1.089778616817818
6,489341.764340397,0.089899994,1.090137307051087
6,489351.7645329461,0.089911453,1.090495999809466
6,489361.7647254951,0.08986944,1.090854722937896
6,489371.7649180442,0.089857988,1.091213467673753
6,489381.7651105933,0.089942008,1.091572215982686
6,489391.7653031424,0.089915268,1.09193096969449
6,489401.7654956914,0.090033673,1.092289703035591
6,489411.7656882405,0.089892358,1.092648423124359
6,489421.7658807896,0.089903817,1.093007118689584
6,489431.7660733387,0.089934371,1.093365816978743
6,489441.7662658878,0.09004131,1.093724517024532
6,489451.7664584368,0.089903817,1.094083215285542
6,489461.7666509859,0.090068042,1.094441922123035
6,489471.766843535,0.089949645,1.094800642663979
6,489481.7670360841,0.089961104,1.095159359087329
6,489491.7672286332,0.089984022,1.095518104286281
6,489501.7674211822,0.089987844,1.095876884161336
6,489511.7676137313,0.089995481,1.09623566556009
6,489521.7678062804,0.089972563,1.096594400823304
6,489531.7679988295,0.089938194,1.09695312614306
6,489541.7681913786,0.089949645,1.097311842963138
6,489551.7683839276,0.090037495,1.097670552797415
6,489561.7685764767,0.089995481,1.098029266112806
6,489571.7687690258,0.090110056,1.098387987244171
6,489581.7689615749,0.090106234,1.098746720307072
6,489591.769154124,0.089995474,1.099105465029425
6,489601.769346673,0.090071864,1.099464204459146
6,489611.7695392221,0.090018399,1.099822945705827
6,489621.7697317712,0.090060405,1.100181675809851
6,489631.7699243203,0.090006933,1.10054040745041
6,489641.7701168694,0.090121515,1.100899139236354
6,489651.7703094184,0.090087146,1.101257876144104
6,489661.7705019675,0.090060405,1.101616622558552
6,489671.7706945166,0.09009096,1.101975378900762
6,489681.7708870657,0.090110056,1.102334127344854
6,489691.7710796148,0.090102419,1.102692886295713
6,489701.7712721638,0.090102419,1.103051631531674
6,489711.7714647129,0.090052769,1.103410363271282
6,489721.771657262,0.090194084,1.103769098490744
6,489731.7718498111,0.090110056,1.104127836729341
6,489741.7720423602,0.090113871,1.104486556419067
6,489751.7722349092,0.090155885,1.104845277998946
6,489761.7724274583,0.090106241,1.105204002322573
6,489771.7726200074,0.090121515,1.105562733288413
6,489781.7728125565,0.090232275,1.105921464804826
6,489791.7730051056,0.090140611,1.106280183029082
6,489801.7731976546,0.090197898,1.106638909719819
6,489811.7733902037,0.090239912,1.106997640091407
6,489821.7735827533,0.090201713,1.107356382351631
6,489831.7737753028,0.090197898,1.107715151433987
6,489841.7739678524,0.090186439,1.108073930751087
6,489851.7741604019,0.090152062,1.108432701426483
6,489861.7743529514,0.090159707,1.108791485402331
6,489871.774545501,0.090266645,1.109150285860748
6,489881.7747380505,0.09026283,1.109509061892467
